building_name,device_id,community,device_no,model,serial,routeros_version,management_ip,management_port,management_url,circuit_no,bandwidth,uptime,checked_at,class_name,form_id
浪漫滿屋,354,浪漫滿屋,shinnan-710,RB450Gx4,HG609YX01TP,6.49.18,122.117.57.131,9000,http://122.117.57.131:9000/,72Y116780,500M/500M,237天 02:05:19,115/05/17 19:04:01,SF_1,354
成功錄,389,成功錄,shinnan-x38,RB450Gx4,HF2097XG6R1,6.49.18,59.127.149.233,9000,http://59.127.149.233:9000/,6Y485056,500M/500M,240天 18:09:12,115/05/17 19:04:01,SF_1,389
太子龍,124,太子龍,shinnan-x14,RB4011iGS+,B8F40AB5F766,6.49.13,114.33.157.220,9000,http://114.33.157.220:9000/,6Y476808,500M/500M,242天 06:03:05,115/05/17 19:04:01,SF_1,124
南科大師,233,南科大師,shinnan-291,RB750Gr3,CC220F804020,6.48.6,125.228.225.233,9000,http://125.228.225.233:9000/,6583Y028527,500M/500M,243天 13:33:46,115/05/17 19:04:01,SF_1,233
家專金棟,122,家專金棟,shinnan-086,RB450Gx4,E1D80DE9AE6B,6.49.13,220.133.69.23,9000,http://220.133.69.23:9000/,6Y173484,300M/300M,245天 10:24:53,115/05/17 19:04:01,SF_1,122
白里織上,69,白里織上,shinnan-x30,RB750Gr3,8AFF09CC24B1,6.49.13,114.35.230.66,9000,http://114.35.230.66:9000/,6Y480957,300M/300M,248天 13:25:04,115/05/17 19:04:01,SF_1,69
儷園,97,儷園,shinnan-195,RB750Gr3,C55D0BD93A89,6.49.10,220.134.144.194,9000,http://220.134.144.194:9000/,6Y244638,300M/300M,249天 04:22:22,115/05/17 19:04:01,SF_1,97
芳崗澄品,263,芳崗澄品,shinnan-789,RB750Gr3,D5030D579DDD,6.49.13,220.134.182.186,9000,http://220.134.182.186:9000/,77Y168551,300M/300M,249天 05:10:25,115/05/17 19:04:01,SF_1,263
香頌,79,香頌,shinnan-720,RB750Gr3,D5030EB9D445,6.49.7,122.117.49.229,9000,http://122.117.49.229:9000/,72Y594433,300M/300M,249天 10:30:09,115/05/17 19:04:01,SF_1,79
金世界,194,金世界,shinnan-106,RB750Gr3,D5030D772C00,6.49.13,220.134.144.203,9000,http://220.134.144.203:9000/,6Y170881,300M/300M,249天 23:36:14,115/05/17 19:04:01,SF_1,194
駿達天下,154,駿達天下,shinnan-102,RB450Gx4,HCW080MK7JV,6.48.7,220.134.144.170,9000,http://220.134.144.170:9000/,6Y100693,300M/300M,252天 07:57:22,115/05/17 19:04:01,SF_1,154
世紀星鑽河北,212,世紀星鑽河北,shinnan-717,RB750Gr3,CC220FF12FA8,6.49.13,114.35.240.146,9000,http://114.35.240.146:9000/,72Y188384,300M/300M,256天 03:57:20,115/05/17 19:04:01,SF_1,212
小日子,378,小日子,shinnan-x13,RB450Gx4,HGS0A0KSCW8,6.49.18,220.134.145.210,9000,http://220.134.145.210:9000/,6Y475091,500M/500M,256天 04:20:16,115/05/17 19:04:01,SF_1,378
公教大樓,35,公教大樓,shinnan-284,RB450Gx4,B8D00BDFFF41,7.14.3,122.117.185.10,9000,http://122.117.185.10:9000/,6Y429269,300M/300M,257天 10:13:37,115/05/17 19:04:01,SF_1,35
鄉景翰林苑,255,鄉景翰林苑,shinnan-x40,RB750Gr3,8B000AF2FF5D,6.49.18,220.132.122.210,9000,http://220.132.122.210:9000/,6598Y041258,500M/500M,264天 01:59:47,115/05/17 19:04:01,SF_1,255
大稻埕,316,大稻埕,shinnan-323,RB450Gx4,HD508E4VE1F,6.49.8,114.35.231.56,9000,http://114.35.231.56:9000/,6Y041532,500M/500M,264天 09:34:38,115/05/17 19:04:01,SF_1,316
嘉禧王朝,59,嘉禧王朝,shinnan-160,RB750Gr3,D5030E9A0A18,6.49.13,220.133.117.194,9000,http://220.133.117.194:9000/,6Y212097,100M/40M,264天 09:34:52,115/05/17 19:04:01,SF_1,59
永龍2,222,永龍2,shinnan-252,RB450Gx4,ADBA0AB45A1C,6.49.13,125.228.225.183,9000,http://125.228.225.183:9000/,6Y173617,500M/500M,264天 09:31:52,115/05/17 19:04:01,SF_1,222
綠海都心,352,綠海都心,shinnan-326,RB5009UG+S+,HFE09A9Y127,7.12.1,114.33.237.58,9000,http://114.33.237.58:9000/,6Y459796,1G/600M,264天 09:32:49,115/05/17 19:04:01,SF_1,352
世界成功,131,世界成功,shinnan-181,RB750Gr3,C55D0BDD929E,6.49.18,59.127.246.62,9000,http://59.127.246.62:9000/,6Y199489,300M/300M,264天 11:41:04,115/05/17 19:04:01,SF_1,131
中華頌,65,中華頌,shinnan-080,RB750Gr3,6F38070D8ECA,6.49.18,114.35.141.42,9000,http://114.35.141.42:9000/,6Y101806,300M/300M,264天 12:16:47,115/05/17 19:04:01,SF_1,65
南科名門,140,南科名門,shinnan-282,RB450Gx4,E1D80F9A2E8B,6.49.13,122.117.198.120,9000,http://122.117.198.120:9000/,6583Y026241,300M/300M,267天 12:35:15,115/05/17 19:04:01,SF_1,140
文蓮苑,170,文蓮苑,shinnan-768,RB750Gr3,D5030E299BA2,6.49.13,122.117.195.13,9000,http://122.117.195.13:9000/,72Y504109,300M/300M,268天 03:05:00,115/05/17 19:04:01,SF_1,170
南國,412,南國,shinnan-103,RB450Gx4,HHK0A9R9JBR,6.49.13,220.134.144.166,9000,http://220.134.144.166:9000/,6Y171202,500M/500M,269天 05:04:00,115/05/17 19:04:01,SF_1,412
尊峰,238,尊峰,shinnan-719,RB750Gr3,CC220F33676F,6.49.13,218.161.115.236,9000,http://218.161.115.236:9000/,72Y276429,300M/300M,275天 08:33:04,115/05/17 19:04:01,SF_1,238
希望之都,353,希望之都,shinnan-169,RB450Gx4,HG609KRFJPE,6.49.13,125.229.207.57,9000,http://125.229.207.57:9000/,6Y158537,300M/300M,277天 05:31:41,115/05/17 19:04:01,SF_1,353
富貴龍門,237,富貴龍門,shinnan-074,RB750Gr3,8B000AFA3F8C,6.49.13,114.33.179.140,9000,http://114.33.179.140:9000/,6Y038672,300M/300M,277天 09:22:36,115/05/17 19:04:01,SF_1,237
東方紐約,64,東方紐約,shinnan-101,RB450Gx4,HD1085NTDQ5,6.49.18,122.117.96.151,9000,http://122.117.96.151:9000/,6Y338625,500M/500M,284天 03:36:58,115/05/17 19:04:01,SF_1,64
澄品觀邸,171,澄品觀邸,shinnan-211,RB750Gr3,CC220D6C117A,6.48.7,218.161.6.188,9000,http://218.161.6.188:9000/,6Y293655,300M/300M,284天 03:56:49,115/05/17 19:04:01,SF_1,171
海閱,12,海閱,shinnan-183,RB750Gr3,6F3906817C17,6.49.10,220.134.145.187,9000,http://220.134.145.187:9000/,6Y212095,300M/300M,286天 14:05:17,115/05/17 19:04:01,SF_1,12
陽光鎮,145,陽光鎮,shinnan-199,RB450Gx4,A51809E6890A,6.49.18,220.133.11.75,9000,http://220.133.11.75:9000/,6Y403238,500M/500M,291天 06:00:19,115/05/17 19:04:01,SF_1,145
金生金室,72,金生金室,shinnan-182,RB450Gx4,E1D80E93B6F6,6.49.10,220.134.144.193,9000,http://220.134.144.193:9000/,6Y176885,300M/300M,292天 21:45:58,115/05/17 19:04:01,SF_1,72
崇明居,28,崇明居,shinnan-054,RB450Gx4,HCW08152ZN5,6.49.18,59.127.246.17,9000,http://59.127.246.17:9000/,6Y425347,300M/300M,298天 03:52:48,115/05/17 19:04:01,SF_1,28
京城四季,247,京城四季,shinnan-736,RB450Gx4,E1D80EB14C4D,6.49.13,122.117.195.122,9000,http://122.117.195.122:9000/,72Y323483,500M/500M,298天 22:10:56,115/05/17 19:04:01,SF_1,247
昕都心,185,昕都心,shinnan-296,RB750Gr3,D5030E752C36,6.48.6,220.134.144.214,9000,http://220.134.144.214:9000/,6Y440282,300M/300M,303天 07:50:23,115/05/17 19:04:01,SF_1,185
崇德大廈,197,崇德大廈,shinnan-056,RB750Gr3,CC220F08C051,6.49.13,114.35.140.218,9000,http://114.35.140.218:9000/,6Y112051,300M/300M,307天 03:38:53,115/05/17 19:04:01,SF_1,197
國泰桂冠,106,國泰桂冠,shinnan-204,RB750Gr3,CC220D3E1998,7.16.2,220.134.145.35,9000,http://220.134.145.35:9000/,6Y008329,500M/500M,313天 02:10:17,115/05/17 19:04:01,SF_1,106
好建築,306,好建築,shinnan-x25,RB750Gr3,D5030D64B540,6.49.13,220.134.144.222,9000,http://220.134.144.222:9000/,6Y473557,500M/500M,314天 19:48:03,115/05/17 19:04:01,SF_1,306
欣澄佳,189,欣澄佳,shinnan-329,RB750Gr3,8B000ACF930D,7.14.3,220.134.150.26,9000,http://220.134.150.26:9000/,6Y457973,300M/300M,314天 19:49:18,115/05/17 19:04:01,SF_1,189
永康森林故鄉,92,永康森林故鄉,shinnan-x15,RB450Gx4,B8D00B0F3D4E,6.49.13,59.127.3.154,9000,http://59.127.3.154:9000/,6Y477130,500M/500M,314天 21:39:51,115/05/17 19:04:01,SF_1,92
威斯汀,193,威斯汀,shinnan-108,RB750Gr3,C55D0B69EC7C,6.49.7,122.117.164.40,9000,http://122.117.164.40:9000/,6Y151370,300M/300M,319天 08:40:03,115/05/17 19:04:01,SF_1,193
