building_name,device_id,community,device_no,model,serial,routeros_version,management_ip,management_port,management_url,circuit_no,bandwidth,uptime,checked_at,class_name,form_id
陽光華廈,256,陽光華廈,shinnan-001,RB450Gx4,HEA08HYFKQS,6.49.19,125.229.207.90,9000,http://125.229.207.90:9000/,6Y116180,500M/500M,19天 01:52:09,115/05/17 18:59:01,SF_1,256
二空新城_b,290,二空新城,shinnan-194_b,RB4011iGS+,D1240B9593EB,7.18.2,61.218.213.242,9000,http://61.218.213.242:9000/,,,19天 03:51:57,115/05/17 18:59:01,SF_1,290
悅河恬,2,悅河恬,shinnan-x51,RB750Gr3,8AFF094FB9D9,6.49.13,114.33.178.131,9000,http://114.33.178.131:9000/,6Y500570,300M/300M,19天 06:06:42,115/05/17 18:59:01,SF_1,2
文化藝術家,179,文化藝術家,shinnan-159,RB750Gr3,6F39066B88AA,7.17,125.229.205.189,9000,http://125.229.205.189:9000/,6Y015715,300M/300M,20天 02:59:43,115/05/17 18:59:01,SF_1,179
文賢苑,54,文賢苑,shinnan-785,RB750Gr3,D5030D6AB4E0,6.49.13,114.35.240.239,9000,http://114.35.240.239:9000/,72Y562681,300M/300M,20天 05:23:19,115/05/17 18:59:01,SF_1,54
永新社區_d,274,永新社區,shinnan-117_d,RB750Gr3,D5030E664D64,6.49.18,59.127.30.152,9000,http://59.127.30.152:9000/,6598Y035474,300M/300M,20天 06:10:52,115/05/17 18:59:01,SF_1,274東橋真愛,39,東橋真愛,shinnan-231,RB5009UG+S+,HEH08SY4TKC,7.18.2,61.221.207.51,9000,http://61.221.207.51:9000/,,,32天 04:19:04,115/05/17 18:59:01,SF_1,39
長谷桃花源,139,長谷桃花源,shinnan-005,RB450Gx4,E1D80F356011,6.49.10,122.117.202.9,9000,http://122.117.202.9:9000/,6Y171241,300M/300M,33天 03:57:56,115/05/17 18:59:01,SF_1,139
悅讀天詩,217,悅讀天詩,shinnan-734,RB750Gr3,D5030EB31E2F,6.48.6,122.117.213.130,9000,http://122.117.213.130:9000/,72Y319830,300M/300M,33天 04:47:29,115/05/17 18:59:01,SF_1,217
收購台南,93,收購台南,shinnan-134,RB750Gr2,64FB057CA686,6.49.2,59.127.147.30,9000,http://59.127.147.30:9000/,6Y143128,100M/40M,33天 20:34:23,115/05/17 18:59:01,SF_1,93
熱帶嶼,361,熱帶嶼,shinnan-014,RB5009UG+S+,HFD09AVEKAW,7.12.1,59.127.0.189,9000,http://59.127.0.189:9000/,6Y005666,500M/500M,34天 03:54:24,115/05/17 18:59:01,SF_1,361
東方公園,420,東方公園,shinnan-018,RB5009UG+S+,HJ80A6P5TA4,7.18.2,61.221.251.125,9000,http://61.221.251.125:9000/,,,34天 04:24:15,115/05/17 18:59:01,SF_1,420
春福采采,345,春福采采,shinnan-332,RB450Gx4,HFA09E53MGH,6.49.18,59.127.246.9,9000,http://59.127.246.9:9000/,6Y475075,500M/500M,35天 08:55:23,115/05/17 18:59:01,SF_1,345
文山.C,265,文山.C,shinnan-740,RB750Gr3,D5030E96A77F,6.49.13,220.134.242.126,9000,http://220.134.242.126:9000/,77Y171366,500M/500M,36天 07:36:32,115/05/17 18:59:01,SF_1,265
崇明天廈,325,崇明天廈,shinnan-081,RB750Gr3,CC210FDD6A4C,6.49.18,114.35.230.124,9000,http://114.35.230.124:9000/,6Y186476,300M/300M,36天 08:49:13,115/05/17 18:59:01,SF_1,325
文化新世紀,17,文化新世紀,shinnan-031,RB450Gx4,HCW082GB39T,6.49.13,59.127.30.245,9000,http://59.127.30.245:9000/,6Y160960,500M/500M,36天 08:45:16,115/05/17 18:59:01,SF_1,17
儒林區,349,儒林區,shinnan-176,RB450Gx4,HFA097KJ36Y,6.49.19,59.127.30.234,9000,http://59.127.30.234:9000/,6Y314713,300M/300M,36天 08:46:07,115/05/17 18:59:01,SF_1,349
文化區,326,文化區,shinnan-122,RB450Gx4,HD508E8ZFNJ,6.49.10,59.127.30.236,9000,http://59.127.30.236:9000/,6Y174870,300M/300M,36天 08:53:52,115/05/17 18:59:01,SF_1,326
長榮新城B區,184,長榮新城B區,shinnan-033,RB5009UG+S+,HC907WT6Q40,7.18.2,114.33.54.227,9000,http://114.33.54.227:9000/,6Y111739,500M/500M,37天 03:45:35,115/05/17 18:59:01,SF_1,184
帝心,376,帝心,shinnan-171,RB450Gx4,HG809KSD9KX,6.49.13,125.229.204.250,9000,http://125.229.204.250:9000/,6Y169385,300M/300M,37天 05:08:30,115/05/17 18:59:01,SF_1,376
桂花鄉,425,桂花鄉,shinnan-007,RB5009UG+S+,HK70AP2979W,7.18.2,220.133.112.220,9000,http://220.133.112.220:9000/,6Y164667,500M/500M,37天 08:06:05,115/05/17 18:59:01,SF_1,425
億載金城,244,億載金城,shinnan-067,RB450Gx4,HCW08D3ASDS,6.49.19,220.134.144.165,9000,http://220.134.144.165:9000/,6Y095293,500M/500M,37天 08:21:45,115/05/17 18:59:01,SF_1,244
峰時代,88,峰時代,shinnan-261,RB450Gx4,HCW08A4Q80R,6.49.18,59.127.30.239,9000,http://59.127.30.239:9000/,6Y370883,500M/500M,37天 10:02:35,115/05/17 18:59:01,SF_1,88
春上春福,268,春上春福,shinnan-285,RB750Gr3,CC220E3275D1,6.49.19,59.127.30.242,9000,http://59.127.30.242:9000/,6Y431084,300M/300M,37天 22:56:13,115/05/17 18:59:01,SF_1,268
中華大道,219,中華大道,shinnan-184,RB450Gx4,E1D80FEFABAD,6.49.18,125.229.207.175,9000,http://125.229.207.175:9000/,6Y213792,500M/500M,40天 03:01:56,115/05/17 18:59:01,SF_1,219
新好國宅,174,新好國宅,shinnan-006,RB450Gx4,B8D00B227DCA,6.49.18,122.117.170.84,9000,http://122.117.170.84:9000/,6Y438926,500M/500M,40天 04:03:23,115/05/17 18:59:01,SF_1,174
翡麗,55,翡麗,shinnan-227,RB450Gx4,E1D80E154F7C,6.49.18,114.33.180.12,9000,http://114.33.180.12:9000/,6Y328720,300M/300M,40天 15:05:29,115/05/17 18:59:01,SF_1,55
EVO,18,EVO,shinnan-241,RB750Gr3,6F3807F64122,6.49.17,59.127.209.137,9000,http://59.127.209.137:9000/,6Y300495,300M/300M,43天 05:42:48,115/05/17 18:59:01,SF_1,18
小王子,89,小王子,shinnan-706,RB750Gr3,CC220E2DC47A,7.6,122.117.49.10,9000,http://122.117.49.10:9000/,72Y274756,300M/300M,43天 10:13:06,115/05/17 18:59:01,SF_1,89
太皇園,369,太皇園,shinnan-045,RB5009UG+S+,HG3096A6HN5,7.12.1,211.21.222.95,9000,http://211.21.222.95:9000/,,,43天 10:18:13,115/05/17 19:04:01,SF_1,369
捷運棧,282,捷運棧,shinnan-798,RB750Gr3,6F380896EC1C,6.49.13,122.117.49.52,9000,http://122.117.49.52:9000/,72Y611642,300M/300M,44天 08:49:42,115/05/17 19:04:01,SF_1,282
海科棧,40,海科棧,shinnan-784,RB750Gr3,D5030E058531,6.49.13,220.133.182.137,9000,http://220.133.182.137:9000/,72Y306507,300M/300M,44天 08:51:03,115/05/17 19:04:01,SF_1,40
永新社區,205,永新社區,shinnan-117,RB450Gx4,E1D80ECCF86B,6.48.7,59.127.246.90,9000,http://59.127.246.90:9000/,6598Y000202,100M/40M,45天 19:18:38,115/05/17 19:04:01,SF_1,205
興富發愛琴海,408,興富發愛琴海,shinnan-x49,RB450Gx4,HHK0A3M6MT6,6.49.13,122.117.180.136,9000,http://122.117.180.136:9000/,6Y490176,500M/500M,46天 08:30:15,115/05/17 19:04:01,SF_1,408
高統嶺,126,高統嶺,shinnan-155,RB750Gr3,D5030F912E72,6.49.13,59.127.30.228,9000,http://59.127.30.228:9000/,6Y108182,300M/300M,46天 21:38:12,115/05/17 19:04:01,SF_1,126
頂好家庭,57,頂好家庭,shinnan-258,RB750Gr3,C55D0B377B1A,6.49.13,114.35.230.141,9000,http://114.35.230.141:9000/,6Y400658,300M/300M,47天 00:21:55,115/05/17 19:04:01,SF_1,57龍的天下,123,龍的天下,shinnan-109,RB4011iGS+,B8F40A055208,7.18.2,211.72.19.252,9000,http://211.72.19.252:9000/,,,47天 06:39:22,115/05/17 19:04:01,SF_1,123
寓見海,161,寓見海,shinnan-214,RB450Gx4,E1D80DBB746B,6.49.19,220.134.144.200,9000,http://220.134.144.200:9000/,6Y381626,500M/500M,48天 03:44:28,115/05/17 19:04:01,SF_1,161
成大林森,206,成大林森,shinnan-257,RB450Gx4,HD5085P7PYD,6.49.19,125.229.141.100,9000,http://125.229.141.100:9000/,6Y396627,500M/500M,48天 03:57:09,115/05/17 19:04:01,SF_1,206
比佛利,190,比佛利,shinnan-077,RB450Gx4,A518091338EB,6.49.18,114.35.141.135,9000,http://114.35.141.135:9000/,6Y234605,500M/500M,48天 04:11:27,115/05/17 19:04:01,SF_1,190
和築,213,和築,shinnan-233,RB750Gr3,6F38073A3B44,6.49.18,125.229.207.118,9000,http://125.229.207.118:9000/,6Y358292,300M/300M,48天 04:51:04,115/05/17 19:04:01,SF_1,213
鑫左岸,424,鑫左岸,shinnan-301,RB750Gr3,CC220E8391EF,6.49.13,122.117.180.155,9000,http://122.117.180.155:9000/,6Y498993,500M/500M,50天 09:53:29,115/05/17 19:04:01,SF_1,424
北安公園,347,北安公園,shinnan-334,RB450Gx4,HFA09AK02CA,6.49.13,220.135.189.56,9000,http://220.135.189.56:9000/,6Y464371,500M/500M,51天 03:25:21,115/05/17 19:04:01,SF_1,347
林森166,48,林森166,shinnan-605,RB750Gr3,CC220F7C1D10,6.49.13,122.117.133.121,9000,http://122.117.133.121:9000/,72Y276316,300M/300M,51天 10:24:39,115/05/17 19:04:01,SF_1,48
溫莎堡,134,溫莎堡,shinnan-742,RB450Gx4,HCW08531943,6.49.7,220.135.131.72,9000,http://220.135.131.72:9000/,72Y608534,300M/300M,52天 08:38:42,115/05/17 19:04:01,SF_1,134
冠藝,390,冠藝,shinnan-760,RB450Gx4,HF2098FCSYS,7.18.2,211.72.60.229,9000,http://211.72.60.229:9000/,,,53天 04:43:58,115/05/17 19:04:01,SF_1,390
明水漾,262,明水漾,shinnan-609,RB450Gx4,HD5083TKQMR,7.18.2,211.72.60.223,9000,http://211.72.60.223:9000/,,,53天 06:26:39,115/05/17 19:04:01,SF_1,262
市心CASA,385,市心CASA,shinnan-x18,RB450Gx4,HF2090YAWKE,6.49.13,59.127.3.166,9000,http://59.127.3.166:9000/,6583Y035583,300M/300M,53天 07:43:06,115/05/17 19:04:01,SF_1,385
真祥家11,5,真祥家11,shinnan-x48,RB750Gr3,6F39060BECEE,6.49.13,122.117.123.156,9000,http://122.117.123.156:9000/,6583Y039537,500M/500M,53天 07:39:59,115/05/17 19:04:01,SF_1,5
太子WIN A,112,太子WIN A,shinnan-210,RB450Gx4,E1D80E027779,6.49.18,122.117.188.213,9000,http://122.117.188.213:9000/,6583Y026160,500M/500M,53天 07:42:37,115/05/17 19:04:01,SF_1,112
神仙家庭,104,神仙家庭,shinnan-064,RB750Gr3,6F390699A5E8,6.49.18,59.127.30.222,9000,http://59.127.30.222:9000/,6Y198355,300M/300M,54天 06:41:11,115/05/17 19:04:01,SF_1,104
白京京東,43,白京京東,shinnan-253,RB750Gr3,C55D0BBDE2B7,6.49.18,220.134.144.207,9000,http://220.134.144.207:9000/,6Y361539,300M/300M,55天 08:45:50,115/05/17 19:04:01,SF_1,43
峰尚大樓,209,峰尚大樓,shinnan-235,RB750Gr3,8B000A26A68C,6.49.19,59.127.30.238,9000,http://59.127.30.238:9000/,6Y358340,500M/500M,57天 18:07:55,115/05/17 19:04:01,SF_1,209
香榭華廈,21,香榭華廈,shinnan-149,RB450Gx4,E1D80DC9CA75,6.49.19,125.229.205.12,9000,http://125.229.205.12:9000/,6Y004582,500M/500M,57天 18:10:37,115/05/17 19:04:01,SF_1,21
摩根168,331,摩根168,shinnan-800,RB5009UG+S+,HEH08SSX51Z,7.14.3,125.228.208.28,9000,http://125.228.208.28:9000/,6Y004764,500M/500M,58天 04:07:01,115/05/17 19:04:01,SF_1,331
永新社區_c,26,永新社區,shinnan-117_c,RB450Gx4,E1D80FB87107,7.18.2,211.72.19.250,9000,http://211.72.19.250:9000/,,,58天 08:45:37,115/05/17 19:04:01,SF_1,26
天立方,133,天立方,shinnan-306,RB750Gr3,CC220E3580C5,6.49.18,122.117.199.55,9000,http://122.117.199.55:9000/,6Y416078,300M/300M,59天 00:09:34,115/05/17 19:04:01,SF_1,133
奇美京鑽,207,奇美京鑽,shinnan-264,RB450Gx4,B8D00AD588C0,6.49.13,220.134.144.139,9000,http://220.134.144.139:9000/,6Y413792,500M/500M,64天 08:36:27,115/05/17 19:04:01,SF_1,207
吉寶市,136,吉寶市,shinnan-040,RB450Gx4,E1D80F0AC8B1,6.49.13,125.229.207.54,9000,http://125.229.207.54:9000/,6Y058754,300M/300M,66天 03:38:26,115/05/17 19:04:01,SF_1,136
公園華廈,232,公園華廈,shinnan-075,RB450Gx4,E1D80FFA8523,7.18.2,211.21.222.93,9000,http://211.21.222.93:9000/,,,66天 05:26:06,115/05/17 19:04:01,SF_1,232
祥城,264,祥城,shinnan-773,RB750Gr3,CC220F33D3B3,6.49.13,114.35.240.155,9000,http://114.35.240.155:9000/,72Y510648,300M/300M,66天 22:31:23,115/05/17 19:04:01,SF_1,264
寶麗金,365,寶麗金,shinnan-145,RB450Gx4,HG809SBMTHD,6.49.19,220.132.250.250,9000,http://220.132.250.250:9000/,6Y466527,500M/500M,67天 04:54:12,115/05/17 19:04:01,SF_1,365
諾貝爾,164,諾貝爾,shinnan-224,RB750Gr3,CC220E85A630,6.49.13,59.127.28.165,9000,http://59.127.28.165:9000/,6Y427160,300M/300M,67天 06:01:44,115/05/17 19:04:01,SF_1,164
超級贏家,128,超級贏家,shinnan-043,RB450Gx4,E1D80FF41511,6.48.7,220.134.144.213,9000,http://220.134.144.213:9000/,6Y413374,300M/300M,67天 07:17:47,115/05/17 19:04:01,SF_1,128
大聚,278,大聚,shinnan-277,RB450Gx4,E1D80F1E3168,6.49.13,125.229.207.72,9000,http://125.229.207.72:9000/,6Y424544,300M/300M,67天 08:47:14,115/05/17 19:04:01,SF_1,278
翡翠森林,87,翡翠森林,shinnan-344,RB750Gr3,D5030F050CEC,7.18.1,220.134.145.208,9000,http://220.134.145.208:9000/,6Y467208,500M/500M,67天 09:04:57,115/05/17 19:04:01,SF_1,87皇邑歸仁,77,皇邑歸仁,shinnan-x07,RB450Gx4,HCW08A8SJTT,6.49.13,220.133.11.97,9000,http://220.133.11.97:9000/,6Y473368,500M/500M,67天 09:47:46,115/05/17 19:04:01,SF_1,77
水舞間,251,水舞間,shinnan-735,RB750Gr3,CC220EF1DD14,6.47.9,59.127.228.73,9000,http://59.127.228.73:9000/,77Y094673,300M/300M,67天 22:00:59,115/05/17 19:04:01,SF_1,251
亞大樓,186,亞大樓,shinnan-748,RB450Gx4,E1D80F7D1B67,6.49.13,220.134.164.211,9000,http://220.134.164.211:9000/,77Y104761,500M/500M,67天 22:07:31,115/05/17 19:04:01,SF_1,186
美麗佳園,153,美麗佳園,shinnan-093,RB450Gx4,E1D80FC57B22,6.49.18,220.134.144.102,9000,http://220.134.144.102:9000/,6Y091445,500M/500M,68天 03:53:03,115/05/17 19:04:01,SF_1,153
水岸青,33,水岸青,shinnan-309,RB750Gr3,D5030D4884A0,6.49.10,220.134.145.22,9000,http://220.134.145.22:9000/,6Y450968,300M/300M,68天 04:00:41,115/05/17 19:04:01,SF_1,33
YES遠東,22,YES遠東,shinnan-050,RB450Gx4,B8D00B3A6818,7.15.3,220.134.144.206,9000,http://220.134.144.206:9000/,6Y408142,300M/300M,69天 07:04:26,115/05/17 19:04:01,SF_1,22
白京松下,208,白京松下,shinnan-260,RB750Gr3,D5030D58B527,6.49.19,125.228.225.198,9000,http://125.228.225.198:9000/,6Y403237,300M/300M,70天 07:52:31,115/05/17 19:04:01,SF_1,208
柏克萊,71,柏克萊,shinnan-251,RB750Gr3,C55D0B73003D,6.49.18,219.85.59.38,9000,http://219.85.59.38:9000/,,,71天 02:47:25,115/05/17 19:04:01,SF_1,71
